170,1
160,1
150,1
140,1
130,1
120,1
110,1
100,1
90,1
60,1
45,1
30,1
20,1
10,1
0,1
-10,1
-20,1
-30,1
-45,1
-60,1
-90,1
-100,1
-110,1
-120,1
-130,1
-140,1
-150,1
-160,1
-170,1
170,0
160,0
150,0
140,0
130,0
120,0
110,0
100,0
90,0
60,0
45,0
30,0
20,0
10,0
0,0
-10,0
-20,0
-30,0
-45,0
-60,0
-90,0
-100,0
-110,0
-120,0
-130,0
-140,0
-150,0
-160,0
-170,0
170,1
160,1
150,1
140,1
130,1
120,1
110,1
100,1
90,1
60,1
45,1
30,1
20,1
10,1
0,1
-10,1
-20,1
-30,1
-45,1
-60,1
-90,1
-100,1
-110,1
-120,1
-130,1
-140,1
-150,1
-160,1
-170,1
170,0
160,0
150,0
140,0
130,0
120,0
110,0
100,0
90,0
60,0
45,0
30,0
20,0
10,0
0,0
-10,0
-20,0
-30,0
-45,0
-60,0
-90,0
-100,0
-110,0
-120,0
-130,0
-140,0
-150,0
-160,0
-170,0
170,1
160,1
150,1
140,1
130,1
120,1
110,1
100,1
90,1
60,1
45,1
30,1
20,1
10,1
0,1
-10,1
-20,1
-30,1
-45,1
-60,1
-90,1
-100,1
-110,1
-120,1
-130,1
-140,1
-150,1
-160,1
-170,1
170,0
160,0
150,0
140,0
130,0
120,0
110,0
100,0
90,0
60,0
45,0
30,0
20,0
10,0
0,0
-10,0
-20,0
-30,0
-45,0
-60,0
-90,0
-100,0
-110,0
-120,0
-130,0
-140,0
-150,0
-160,0
-170,0
